demarcation_code,financial_year,opinion_code,opinion_label,report_url
KZN211,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/KZN211%20Vuhlamehlo/KZN211%20Vulamehlo%20Audit%20Report%202011-12.pdf
GT484,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT484%20Merafong%20City/GT484%20Merafong%20City%20Audit%20report%202011-12.pdf
GT483,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT483%20Westonaria/GT483%20Westonaria%20Audit%20report%202011-12.pdf
GT482,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT482%20Randfontein/GT482%20Randfontein%20Audit%20report%202011-12.pdf
GT481,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT481%20Mogale%20City/GT481%20Mogale%20City%20Audit%20report%202011-12.pdf
GT422,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT422%20Midvaal/GT422%20Midvaal%20Audit%20report%202011-12.pdf
GT421,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/GT421%20Emfuleni/GT421%20Emfuleni%20Audit%20report%202011-12.pdf
FS205,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS205%20Mafube/FS205%20Mafube%20Audit%20Report%202011-12.pdf
FS204,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS204%20Metsimaholo/FS204%20Metsimaholo%20Audit%20report%202011-12.pdf
FS203,2012,outstanding,Outstanding,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS203%20Ngwathe/FS203%20Ngwathe%20Audit%20Report%202011-12.pdf
FS201,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS201%20Moqhaka/FS201%20Moqhaka%20Audit%20report%202011-12.pdf
FS194,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS194%20Maluti-a-Phofung/FS194%20Mauti-a-Phofung%20Audit%20report%202011-12.pdf
FS193,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS193%20Nketoana/FS193%20Nketoana%20Audit%20report%202011-12.pdf
FS192,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS192%20Dihlabeng/FS192%20Dihlabeng%20Audit%20report%202011-12.pdf
FS191,2012,outstanding,Outstanding,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS191%20Setsoto/FS191%20Setsoto%20Audit%20Report%202011-12.pdf
FS185,2012,outstanding,Outstanding,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS185%20Nala/FS185%20Nala%20Audit%20report%202011-12.pdf
FS184,2012,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS184%20Matjhabeng/FS184%20Matjhabeng%20Audit%20Report%202011-12.pdf
FS183,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/02.%20Local%20municipalities/FS183%20Tswelopele/FS183%20Tswelopele%20Audit%20report%202011-12.pdf
