demarcation_code,financial_year,opinion_code,opinion_label,report_url
EC123,2015,qualified,Qualified,
EC156,2015,qualified,Qualified,
EC154,2014,qualified,Qualified,
FS181,2014,qualified,Qualified,
GT421,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC15,2012,disclaimer,Disclaimer of opinion,
GT482,2014,qualified,Qualified,
GT483,2015,adverse,Adverse opinion,
FS163,2013,qualified,Qualified,
FS181,2011,disclaimer,Disclaimer of opinion,
FS181,2012,qualified,Qualified,
FS181,2013,qualified,Qualified,
KZN433,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
FS182,2012,qualified,Qualified,
FS182,2013,qualified,Qualified,
FS185,2011,outstanding,Outstanding,
FS185,2013,disclaimer,Disclaimer of opinion,
FS196,2011,qualified,Qualified,
FS196,2012,disclaimer,Disclaimer of opinion,
GT484,2013,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM474,2014,disclaimer,Disclaimer of opinion,
LIM474,2015,qualified,Qualified,
LIM331,2014,qualified,Qualified,
LIM355,2015,qualified,Qualified,
LIM362,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM362,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN223,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN223,2013,qualified,Qualified,
LIM367,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM367,2015,disclaimer,Disclaimer of opinion,
DC33,2014,adverse,Adverse opinion,
LIM342,2014,qualified,Qualified,
MP316,2014,qualified,Qualified,
DC32,2014,unqualified,Unqualified - No findings,
KZN233,2011,disclaimer,Disclaimer of opinion,
MP303,2014,disclaimer,Disclaimer of opinion,
DC37,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW403,2015,qualified,Qualified,
NW384,2014,disclaimer,Disclaimer of opinion,
NW384,2015,disclaimer,Disclaimer of opinion,
DC40,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC40,2015,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW393,2015,disclaimer,Disclaimer of opinion,
NC094,2014,disclaimer,Disclaimer of opinion,
EC103,2015,outstanding,Outstanding,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2014-15/02.%20Local%20municipalities/EC103%20Ikwezi/EC103%20Ikwezi%20Audit%20report%202014-15.pdf
KZN434,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
KZN434,2013,unqualified,Unqualified - No findings,
LIM332,2013,disclaimer,Disclaimer of opinion,
LIM333,2013,qualified,Qualified,
LIM334,2013,disclaimer,Disclaimer of opinion,
DC33,2013,disclaimer,Disclaimer of opinion,
LIM344,2011,disclaimer,Disclaimer of opinion,
DC34,2013,disclaimer,Disclaimer of opinion,
LIM351,2013,qualified,Qualified,
LIM353,2011,disclaimer,Disclaimer of opinion,
LIM355,2011,disclaimer,Disclaimer of opinion,
LIM361,2013,disclaimer,Disclaimer of opinion,
LIM472,2012,qualified,Qualified,
MP302,2012,disclaimer,Disclaimer of opinion,
MP303,2011,disclaimer,Disclaimer of opinion,
MP303,2012,outstanding,Outstanding,
MP316,2011,disclaimer,Disclaimer of opinion,
MP325,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NC452,2013,disclaimer,Disclaimer of opinion,
NC062,2012,outstanding,Outstanding,
NC066,2012,outstanding,Outstanding,
NC075,2011,outstanding,Outstanding,
NC075,2012,outstanding,Outstanding,
NC075,2013,disclaimer,Disclaimer of opinion,
NC076,2013,disclaimer,Disclaimer of opinion,
NC084,2013,disclaimer,Disclaimer of opinion,
NC085,2011,disclaimer,Disclaimer of opinion,
DC8,2013,unqualified,Unqualified - No findings,
NC092,2012,outstanding,Outstanding,
NC092,2013,disclaimer,Disclaimer of opinion,
NW373,2011,disclaimer,Disclaimer of opinion,
DC37,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW381,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NW382,2011,disclaimer,Disclaimer of opinion,
NW382,2012,disclaimer,Disclaimer of opinion,
NW384,2013,disclaimer,Disclaimer of opinion,
NW385,2011,disclaimer,Disclaimer of opinion,
NW385,2012,outstanding,Outstanding,
NW385,2013,disclaimer,Disclaimer of opinion,
DC38,2013,disclaimer,Disclaimer of opinion,
NW393,2011,disclaimer,Disclaimer of opinion,
NW393,2012,disclaimer,Disclaimer of opinion,
NW393,2013,disclaimer,Disclaimer of opinion,
NW396,2013,disclaimer,Disclaimer of opinion,
NW397,2012,disclaimer,Disclaimer of opinion,
NW397,2013,disclaimer,Disclaimer of opinion,
DC39,2012,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC39,2013,qualified,Qualified,
NW401,2011,disclaimer,Disclaimer of opinion,
NW402,2011,qualified,Qualified,
NW404,2013,disclaimer,Disclaimer of opinion,
DC40,2011,qualified,Qualified,
WC012,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
WC026,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC12,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC37,2015,disclaimer,Disclaimer of opinion,
DC35,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC13,2016,qualified,Qualified,
NW384,2016,qualified,Qualified,
DC32,2016,unqualified,Unqualified - No findings,
DC20,2016,unqualified,Unqualified - No findings,
DC30,2016,qualified,Qualified,
LIM332,2016,qualified,Qualified,
LIM333,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC18,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM355,2016,qualified,Qualified,
LIM362,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC48,2014,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2013-14/03.%20District%20municipalities/DC48%20West%20Rand/DC48%20West%20Rand%20Audit%20report%202013-14.pdf
LIM353,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
EC138,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC36,2016,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
LIM361,2016,disclaimer,Disclaimer of opinion,
LIM367,2016,adverse,Adverse opinion,
NC075,2015,disclaimer,Disclaimer of opinion,
NC075,2016,qualified,Qualified,
FS204,2013,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2012-13/02.%20Local%20Municipalities/FS204%20Metsimaholo
MP321,2013,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2012-13/02.%20Local%20Municipalities/MP321%20Thaba%20Chweu
WC048,2013,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2012-13/02.%20Local%20Municipalities/WC048%20Knysna
DC14,2013,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2012-13/03.%20District%20municipalities/DC14%20Joe%20Gqabi
LIM366,2017,qualified,Qualified,
NC082,2017,qualified,Qualified,
BUF,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/BUF%20Buffalo%20City/BUF%20Buffalo%20City%20Audit%20report%202016-17.pdf
EC441,2011,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2010-11/02.%20Local%20Municipalities/EC441%20Matatiele/EC441%20Matatiele%20Audit%20Report%202010-11.pdf
EC154,2011,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2010-11/02.%20Local%20Municipalities/EC154%20Port%20St%20Johns/EC154%20Port%20St%20Johns%20Audit%20Report%202010-11%20Audited.pdf
LIM354,2014,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2013-14/02.%20Local%20municipalities/LIM354%20Polokwane
NC073,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC20,2017,adverse,Adverse opinion,
NC453,2017,qualified,Qualified,
EKU,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/EKU%20City%20of%20Ekurhuleni/EKU%20City%20of%20Ekurhuleni%20Audit%20report%202016-17.pdf
NW405,2017,disclaimer,Disclaimer of opinion,
NC067,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
FS194,2017,outstanding,Outstanding,
GT484,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
EC156,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
GT481,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
FS163,2017,disclaimer,Disclaimer of opinion,
KZN291,2014,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2013-14/02.%20Local%20municipalities/KZN291%20Mandeni/KZN291%20Mandeni%20%20Audit%20Report%202013-14.PDF
DC7,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
NC077,2017,disclaimer,Disclaimer of opinion,
NC076,2017,qualified,Qualified,
FS182,2017,disclaimer,Disclaimer of opinion,
LIM476,2017,qualified,Qualified,
DC27,2017,adverse,Adverse opinion,
NC072,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
DC8,2017,unqualified,Unqualified - No findings,
EC145,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC145%20Walter%20Sisulu/EC145%20Walter%20Sisulu%20Audit%20report%202016-17.pdf
EC442,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC442%20Umzimvubu/EC442%20Umzimvubu%20Audit%20report%202016-17.pdf
KZN212,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN212%20Umdoni/KZN212%20Umdoni%20Audit%20report%202016-17.pdf
KZN213,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN213%20uMzumbe/KZN213%20Umzumbe%20Audit%20Report%202016-17.pdf
KZN214,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN214%20Umuziwabantu/KZN214%20Umuziwabantu%20Audit%20report%202016-17.pdf
GT422,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/GT422%20Midvaal/GT422%20Midvaal%20Audit%20Report%202016-17.pdf
KZN221,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN221%20uMshwathi/KZN221%20uMshwathi%20Audit%20report%202016-17.pdf
KZN222,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN222%20uMngeni/KZN222%20uMngeni%20Audit%20report%202016-17.pdf
KZN245,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN245%20Umvoti/KZN245%20Umvoti%20Audit%20report%202016-17.pdf
KZN262,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN262%20uPhongolo/KZN262%20uPhongolo%20Audit%20report%202016-17.pdf
KZN266,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN266%20Ulundi/KZN266%20Ulundi%20AFS%202016-17%20audited.pdf
KZN271,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN271%20Umhlabuyalingana/KZN271%20Umhlabuyalingana%20AFS%202016-17%20audited.pdf
NC086,2017,disclaimer,Disclaimer of opinion,
FS162,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS162%20Kopanong/FS162%20Kopanong%20Audit%20report%202016-17.pdf
FS185,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS185%20Nala/FS185%20Nala%20Audit%20report%202016-17.pdf
MAN,2012,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2011-12/01.%20Metros/MAN%20Mangaung
KZN282,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN282%20uMhlathuze/KZN282%20uMhlathuze%20AFS%202016-17%20audited.pdf
KZN284,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN284%20uMlalazi/KZN284%20uMlalazi%20Audit%20Report%202016-17.pdf
KZN434,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN434%20uBuhlebezwe/KZN434%20uBuhlebezwe%20Audit%20Report%202016-17.pdf
KZN435,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN435%20Umzimkhulu/KZN435%20Umzimkhulu%20Audit%20Report%202016-17.pdf
MP311,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/MP311%20Victor%20Khanye/MP311%20Victor%20Khanye%20Audit%20report%202016-17.pdf
WC022,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/WC022%20Witzenberg/WC022%20Witzenberg%20Audit%20report%202016-17.pdf
DC1,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/03.%20District%20municipalities/DC1%20West%20Coast/DC1%20West%20Coast%20Audit%20report%202016-17.pdf
DC16,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/03.%20District%20municipalities/DC16%20Xhariep/DC16%20Xhariep%20Audit%20report%202016-17.pdf
CPT,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/CPT%20Cape%20Town/CPT%20Cape%20Town%20Audit%20report%202016-17.pdf
ETH,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/ETH%20eThekwini/ETH%20eThekwini%20Audit%20report%202016-17.pdf
JHB,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/JHB%20City%20of%20Johannesburg/JHB%20City%20of%20Johannesburg%20Consolidated%20Audit%20report%202016-17.pdf
MAN,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/MAN%20Mangaung/MAN%20Mangaung%20Audit%20report%202016-17.pdf
NMA,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/NMA%20Nelson%20Mandela%20Bay/NMA%20Nelson%20Mandela%20Bay%20Audit%20report%202016-17.pdf
TSH,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/01.%20Metros/TSH%20City%20of%20Tshwane/TSH%20City%20of%20Tshwane%20Audit%20report%202016-17.pdf
EC101,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC101%20Dr%20Beyers%20Naude/EC101%20Dr%20Beyers%20Naude%20Audit%20report%202016-17.pdf
EC102,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC102%20Blue%20Crane%20Route/EC102%20Blue%20Crane%20Route%20Audit%20report%202016-17.pdf
EC104,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC104%20Makana/EC104%20Makana%20Audit%20report%202016-17.pdf
EC105,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC105%20Ndlambe/EC105%20Ndlambe%20Audit%20Report%202016-17.pdf
EC106,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC106%20Sundays%20River%20Valley/EC106%20Sundays%20River%20Valley%20Audit%20Report%202016-17.pdf
EC108,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC108%20Kouga/EC108%20Kouga%20Audit%20report%202016-17.pdf
EC109,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC109%20Kou-Kamma/EC109%20Kou-Kamma%20Audit%20report%202016-17.pdf
KZN284,2019,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,
EC121,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC121%20Mbhashe/EC121%20Mbhashe%20Audit%20report%202016-17.pdf
EC122,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC122%20Mnquma/EC122%20Mnquma%20AFS%202016-17%20audited.pdf
EC123,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC123%20Great%20Kei/EC123%20Great%20Kei%20AFS%202016-17%20audited.pdf
EC124,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC124%20Amahlathi/EC124%20Amahlathi%20Audit%20Report%202016-17.pdf
EC126,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC126%20Ngqushwa/EC126%20Ngqushwa%20Audit%20report%202016-17.pdf
EC129,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC129%20Raymond%20Mhlaba/EC129%20Raymond%20Mhlaba%20Audit%20report%202016-17.pdf
EC131,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC131%20Inxuba%20Yethemba/EC131%20Inxuba%20Yethemba%20Audit%20Report%202016-17.pdf
EC135,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC135%20Intsika%20Yethu/EC135%20Intsika%20Yethu%20Audit%20report%202016-17.pdf
EC136,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC136%20Emalahleni/EC136%20Emalahleni%20Audit%20report%202016-17.pdf
EC137,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC137%20Engcobo/EC137%20Engcobo%20Audit%20report%202016-17.pdf
EC138,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC138%20Sakhisizwe/EC138%20Sakhisizwe%20AFS%202016-17%20audited.pdf
EC139,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC139%20Enoch%20Mgijima/EC139%20Enoch%20Mgijima%20AFS%202016-17%20audited.pdf
EC141,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC141%20Elundini/EC141%20Elundini%20Audit%20report%202016-17.pdf
EC142,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC142%20Senqu/EC142%20Senqu%20Audit%20report%202016-17.pdf
EC153,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC153%20Ngquza%20Hills/EC153%20Ngquza%20Hills%20Audit%20Report%202016-17.pdf
NC083,2014,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2013-14/02.%20Local%20municipalities/NC083%20Khara%20Hais/NC083%20Khara%20Hais%20Audit%20report%202013-14.PDF
EC154,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC154%20Port%20St%20Johns/EC154%20Port%20St%20Johns%20Audit%20report%202016-17.pdf
EC155,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC155%20Nyandeni/EC155%20Nyandeni%20Audit%20report%202016-17.pdf
EC157,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC157%20King%20Sebata%20Dalindyebo/EC157%20King%20Sabata%20Dalindyebo%20Audit%20%20Report%202016-17.pdf
EC441,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC441%20Matatiele/EC441%20Matatiele%20Audit%20Report%202016-17.pdf
EC443,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC443%20Mbizana/EC443%20Mbizana%20Audit%20report%202016-17.pdf
EC444,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/EC444%20Ntabankulu/EC444%20Ntabankulu%20Audit%20report%202016-17.pdf
FS161,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS161%20Letsemeng/FS161%20Letsemeng%20Audit%20report%202016-17.pdf
FS183,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS183%20Tswelopele/FS183%20Tswelopele%20Audit%20report%202016-17.pdf
FS184,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS184%20Matjhabeng/FS184%20Matjhabeng%20Audit%20report%202016-17.pdf
FS191,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS191%20Setsoto/FS191%20Setsoto%20Audit%20report%202016-17.pdf
FS192,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS192%20Dihlabeng/FS192%20Dihlabeng%20Audit%20report%202016-17.pdf
FS195,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS195%20Phumelela/FS195%20Phumelela%20Audit%20report%202016-17.pdf
FS204,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/FS204%20Metsimaholo/FS204%20Metsimaholo%20Audit%20report%202016-17.pdf
GT423,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/GT423%20Lesedi/GT423%20Lesedi%20Audit%20report%202016-17.pdf
KZN216,2017,unqualified,Unqualified - No findings,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN216%20Ray%20Nkonyeni/KZN216%20Ray%20Nkonyeni%20Audit%20report%202016-17.pdf
KZN223,2017,qualified,Qualified,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN223%20Mpofana/KZN223%20Mpofana%20Audit%20Report%202016-17.pdf
KZN224,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN224%20Impendle/KZN224%20Impendle%20Audit%20report%202016-17.pdf
KZN225,2017,disclaimer,Disclaimer of opinion,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN225%20Msunduzi/KZN225%20Msunduzi%20Audit%20Report%202016-17.pdf
KZN226,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN226%20Mkhambathini/KZN226%20Mkhambathini%20Audit%20Report%202016-17.pdf
KZN227,2017,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,http://mfma.treasury.gov.za/Documents/07.%20Audit%20Reports/2016-17/02.%20Local%20municipalities/KZN227%20Richmond/KZN227%20Richmond%20Audit%20report%202016-17.pdf
